node,xmin,xmax,ymin,ymax
0,-3.14159,0,-1.5708,1.5708
00,-3.14159,0,-1.5708,0
000,-3.14159,-1.5708,-1.5708,0
0000,-3.14159,-1.5708,-1.5708,-0.785398
00000,-3.14159,-2.35619,-1.5708,-0.785398
000001,-3.14159,-2.35619,-1.1781,-0.785398
0000010,-3.14159,-2.74889,-1.1781,-0.785398
00000101,-3.14159,-2.74889,-0.981748,-0.785398
00000101x,-3.14159,-2.74889,-0.981748,-0.785398
00000101x0,-3.14159,-2.74889,-0.981748,-0.883573
00000101x0x,-3.14159,-2.74889,-0.981748,-0.883573
00000101x0x0,-3.14159,-2.74889,-0.981748,-0.93266
1,0,3.14159,-1.5708,1.5708
10,0,3.14159,-1.5708,0
101,1.5708,3.14159,-1.5708,0
1010,1.5708,3.14159,-1.5708,-0.785398
10101,2.35619,3.14159,-1.5708,-0.785398
101011,2.35619,3.14159,-1.1781,-0.785398
1010111,2.74889,3.14159,-1.1781,-0.785398
10101111,2.74889,3.14159,-0.981748,-0.785398
10101111x,2.74889,3.14159,-0.981748,-0.785398
10101111x0,2.74889,3.14159,-0.981748,-0.883573
10101111x0x,2.74889,3.14159,-0.981748,-0.883573
10101111x0x0,2.74889,3.14159,-0.981748,-0.93266
1010110,2.35619,2.74889,-1.1781,-0.785398
10101101,2.35619,2.74889,-0.981748,-0.785398
10101101x,2.35619,2.74889,-0.981748,-0.785398
10101101x0,2.35619,2.74889,-0.981748,-0.883573
10101101x0x,2.35619,2.74889,-0.981748,-0.883573
10101101x0x0,2.35619,2.74889,-0.981748,-0.93266
0000011,-2.74889,-2.35619,-1.1781,-0.785398
00000111,-2.74889,-2.35619,-0.981748,-0.785398
00000111x,-2.74889,-2.35619,-0.981748,-0.785398
00000111x0,-2.74889,-2.35619,-0.981748,-0.883573
00000111x0x,-2.74889,-2.35619,-0.981748,-0.883573
00000111x0x0,-2.74889,-2.35619,-0.981748,-0.93266
10100,1.5708,2.35619,-1.5708,-0.785398
101001,1.5708,2.35619,-1.1781,-0.785398
1010011,1.9635,2.35619,-1.1781,-0.785398
10100111,1.9635,2.35619,-0.981748,-0.785398
10100111x,1.9635,2.35619,-0.981748,-0.785398
10100111x0,1.9635,2.35619,-0.981748,-0.883573
10100111x0x,1.9635,2.35619,-0.981748,-0.883573
10100111x0x0,1.9635,2.35619,-0.981748,-0.93266
00001,-2.35619,-1.5708,-1.5708,-0.785398
000011,-2.35619,-1.5708,-1.1781,-0.785398
0000110,-2.35619,-1.9635,-1.1781,-0.785398
00001101,-2.35619,-1.9635,-0.981748,-0.785398
00001101x,-2.35619,-1.9635,-0.981748,-0.785398
00001101x0,-2.35619,-1.9635,-0.981748,-0.883573
00001101x0x,-2.35619,-1.9635,-0.981748,-0.883573
00001101x0x0,-2.35619,-1.9635,-0.981748,-0.93266
0000111,-1.9635,-1.5708,-1.1781,-0.785398
00001111,-1.9635,-1.5708,-0.981748,-0.785398
000011110,-1.9635,-1.76715,-0.981748,-0.785398
0000111100,-1.9635,-1.76715,-0.981748,-0.883573
0000111100x,-1.9635,-1.76715,-0.981748,-0.883573
0000111100x0,-1.9635,-1.76715,-0.981748,-0.93266
1010010,1.5708,1.9635,-1.1781,-0.785398
10100101,1.5708,1.9635,-0.981748,-0.785398
101001011,1.76715,1.9635,-0.981748,-0.785398
1010010110,1.76715,1.9635,-0.981748,-0.883573
1010010110x,1.76715,1.9635,-0.981748,-0.883573
1010010110x0,1.76715,1.9635,-0.981748,-0.93266
000011111,-1.76715,-1.5708,-0.981748,-0.785398
0000111110,-1.76715,-1.5708,-0.981748,-0.883573
0000111110x,-1.76715,-1.5708,-0.981748,-0.883573
0000111110x1,-1.76715,-1.5708,-0.93266,-0.883573
101001010,1.5708,1.76715,-0.981748,-0.785398
1010010100,1.5708,1.76715,-0.981748,-0.883573
1010010100x,1.5708,1.76715,-0.981748,-0.883573
1010010100x1,1.5708,1.76715,-0.93266,-0.883573
001,-1.5708,0,-1.5708,0
0010,-1.5708,0,-1.5708,-0.785398
00100,-1.5708,-0.785398,-1.5708,-0.785398
001001,-1.5708,-0.785398,-1.1781,-0.785398
0010010,-1.5708,-1.1781,-1.1781,-0.785398
00100101,-1.5708,-1.1781,-0.981748,-0.785398
001001010,-1.5708,-1.37445,-0.981748,-0.785398
0010010100,-1.5708,-1.37445,-0.981748,-0.883573
0010010100x,-1.5708,-1.37445,-0.981748,-0.883573
0010010100x1,-1.5708,-1.37445,-0.93266,-0.883573
100,0,1.5708,-1.5708,0
1000,0,1.5708,-1.5708,-0.785398
