node,xmin,xmax,ymin,ymax
0,-1321.72,0,-827.144,1086.11
00,-1321.72,0,-827.144,129.481
001,-660.858,0,-827.144,129.481
0010,-660.858,0,-827.144,-348.831
00100,-660.858,-330.429,-827.144,-348.831
001001,-660.858,-330.429,-587.988,-348.831
0010011,-495.644,-330.429,-587.988,-348.831
00100110,-495.644,-330.429,-587.988,-468.41
001001100,-495.644,-413.036,-587.988,-468.41
0010011000,-495.644,-413.036,-587.988,-528.199
00100110001,-454.34,-413.036,-587.988,-528.199
001001100010,-454.34,-413.036,-587.988,-558.093
0010011000101,-433.688,-413.036,-587.988,-558.093
0010011000101x,-433.688,-413.036,-587.988,-558.093
1,0,1321.72,-827.144,1086.11
10,0,1321.72,-827.144,129.481
101,660.858,1321.72,-827.144,129.481
1010,660.858,1321.72,-827.144,-348.831
10100,660.858,991.288,-827.144,-348.831
101001,660.858,991.288,-587.988,-348.831
1010011,826.073,991.288,-587.988,-348.831
10100110,826.073,991.288,-587.988,-468.41
101001100,826.073,908.68,-587.988,-468.41
1010011000,826.073,908.68,-587.988,-528.199
10100110000,826.073,867.377,-587.988,-528.199
101001100000,826.073,867.377,-587.988,-558.093
1010011000000,826.073,846.725,-587.988,-558.093
1010011000000x,826.073,846.725,-587.988,-558.093
000,-1321.72,-660.858,-827.144,129.481
0001,-1321.72,-660.858,-348.831,129.481
00010,-1321.72,-991.288,-348.831,129.481
000100,-1321.72,-991.288,-348.831,-109.675
0001001,-1156.5,-991.288,-348.831,-109.675
00010010,-1156.5,-991.288,-348.831,-229.253
000100100,-1156.5,-1073.89,-348.831,-229.253
0001001001,-1156.5,-1073.89,-289.042,-229.253
00010010010,-1156.5,-1115.2,-289.042,-229.253
000100100101,-1156.5,-1115.2,-259.148,-229.253
0001001001010,-1156.5,-1135.85,-259.148,-229.253
0001001001010x,-1156.5,-1135.85,-259.148,-229.253
01,-1321.72,0,129.481,1086.11
011,-660.858,0,129.481,1086.11
0111,-660.858,0,607.793,1086.11
01111,-330.429,0,607.793,1086.11
011110,-330.429,0,607.793,846.949
0111100,-330.429,-165.215,607.793,846.949
01111001,-330.429,-165.215,727.371,846.949
011110010,-330.429,-247.822,727.371,846.949
0111100100,-330.429,-247.822,727.371,787.16
01111001000,-330.429,-289.126,727.371,787.16
011110010001,-330.429,-289.126,757.266,787.16
0111100100010,-330.429,-309.777,757.266,787.16
0111100100010x,-330.429,-309.777,757.266,787.16
100,0,660.858,-827.144,129.481
1001,0,660.858,-348.831,129.481
10011,330.429,660.858,-348.831,129.481
100111,330.429,660.858,-109.675,129.481
1001110,330.429,495.644,-109.675,129.481
10011101,330.429,495.644,9.90269,129.481
100111010,330.429,413.036,9.90269,129.481
1001110101,330.429,413.036,69.6917,129.481
10011101011,371.733,413.036,69.6917,129.481
100111010111,371.733,413.036,99.5862,129.481
1001110101110,371.733,392.385,99.5862,129.481
1001110101110x,371.733,392.385,99.5862,129.481
00011,-991.288,-660.858,-348.831,129.481
000110,-991.288,-660.858,-348.831,-109.675
0001101,-826.073,-660.858,-348.831,-109.675
00011011,-826.073,-660.858,-229.253,-109.675
000110111,-743.466,-660.858,-229.253,-109.675
0001101111,-743.466,-660.858,-169.464,-109.675
00011011111,-702.162,-660.858,-169.464,-109.675
000110111111,-702.162,-660.858,-139.57,-109.675
0001101111110,-702.162,-681.51,-139.57,-109.675
0001101111110x,-702.162,-681.51,-139.57,-109.675
0110,-660.858,0,129.481,607.793
01101,-330.429,0,129.481,607.793
011011,-330.429,0,368.637,607.793
0110110,-330.429,-165.215,368.637,607.793
01101101,-330.429,-165.215,488.215,607.793
011011010,-330.429,-247.822,488.215,607.793
0110110100,-330.429,-247.822,488.215,548.004
01101101000,-330.429,-289.126,488.215,548.004
011011010001,-330.429,-289.126,518.109,548.004
0110110100010,-330.429,-309.777,518.109,548.004
0110110100010x,-330.429,-309.777,518.109,548.004
01100,-660.858,-330.429,129.481,607.793
011000,-660.858,-330.429,129.481,368.637
0110001,-495.644,-330.429,129.481,368.637
01100010,-495.644,-330.429,129.481,249.059
011000101,-413.036,-330.429,129.481,249.059
0110001011,-413.036,-330.429,189.27,249.059
01100010110,-413.036,-371.733,189.27,249.059
011000101101,-413.036,-371.733,219.164,249.059
0110001011011,-392.385,-371.733,219.164,249.059
0110001011011x,-392.385,-371.733,219.164,249.059
10010,0,330.429,-348.831,129.481
100100,0,330.429,-348.831,-109.675
1001000,0,165.215,-348.831,-109.675
10010001,0,165.215,-229.253,-109.675
100100010,0,82.6073,-229.253,-109.675
1001000101,0,82.6073,-169.464,-109.675
10010001011,41.3036,82.6073,-169.464,-109.675
100100010110,41.3036,82.6073,-169.464,-139.57
1001000101100,41.3036,61.9555,-169.464,-139.57
1001000101100x,41.3036,61.9555,-169.464,-139.57
0010010,-660.858,-495.644,-587.988,-348.831
00100101,-660.858,-495.644,-468.41,-348.831
001001010,-660.858,-578.251,-468.41,-348.831
0010010100,-660.858,-578.251,-468.41,-408.62
00100101001,-619.555,-578.251,-468.41,-408.62
001001010011,-619.555,-578.251,-438.515,-408.62
0010010100111,-598.903,-578.251,-438.515,-408.62
0010010100111x,-598.903,-578.251,-438.515,-408.62
0000,-1321.72,-660.858,-827.144,-348.831
00001,-991.288,-660.858,-827.144,-348.831
000011,-991.288,-660.858,-587.988,-348.831
0000110,-991.288,-826.073,-587.988,-348.831
00001100,-991.288,-826.073,-587.988,-468.41
000011001,-908.68,-826.073,-587.988,-468.41
0000110010,-908.68,-826.073,-587.988,-528.199
00001100100,-908.68,-867.377,-587.988,-528.199
000011001001,-908.68,-867.377,-558.093,-528.199
0000110010010,-908.68,-888.028,-558.093,-528.199
0000110010010x,-908.68,-888.028,-558.093,-528.199
1000,0,660.858,-827.144,-348.831
10001,330.429,660.858,-827.144,-348.831
100010,330.429,660.858,-827.144,-587.988
1000100,330.429,495.644,-827.144,-587.988
10001000,330.429,495.644,-827.144,-707.566
100010001,413.036,495.644,-827.144,-707.566
1000100011,413.036,495.644,-767.355,-707.566
10001000111,454.34,495.644,-767.355,-707.566
100010001110,454.34,495.644,-767.355,-737.46
1000100011101,474.992,495.644,-767.355,-737.46
1000100011101x,474.992,495.644,-767.355,-737.46
11,0,1321.72,129.481,1086.11
110,0,660.858,129.481,1086.11
1101,0,660.858,607.793,1086.11
11011,330.429,660.858,607.793,1086.11
110111,330.429,660.858,846.949,1086.11
1101110,330.429,495.644,846.949,1086.11
11011101,330.429,495.644,966.527,1086.11
110111010,330.429,413.036,966.527,1086.11
1101110100,330.429,413.036,966.527,1026.32
11011101000,330.429,371.733,966.527,1026.32
110111010000,330.429,371.733,966.527,996.422
1101110100000,330.429,351.081,966.527,996.422
1101110100000x,330.429,351.081,966.527,996.422
011010,-330.429,0,129.481,368.637
0110101,-165.215,0,129.481,368.637
01101010,-165.215,0,129.481,249.059
011010100,-165.215,-82.6073,129.481,249.059
0110101001,-165.215,-82.6073,189.27,249.059
01101010010,-165.215,-123.911,189.27,249.059
011010100101,-165.215,-123.911,219.164,249.059
0110101001011,-144.563,-123.911,219.164,249.059
0110101001011x,-144.563,-123.911,219.164,249.059
00000,-1321.72,-991.288,-827.144,-348.831
000001,-1321.72,-991.288,-587.988,-348.831
0000011,-1156.5,-991.288,-587.988,-348.831
00000111,-1156.5,-991.288,-468.41,-348.831
000001110,-1156.5,-1073.89,-468.41,-348.831
0000011101,-1156.5,-1073.89,-408.62,-348.831
00000111010,-1156.5,-1115.2,-408.62,-348.831
000001110101,-1156.5,-1115.2,-378.726,-348.831
0000011101010,-1156.5,-1135.85,-378.726,-348.831
0000011101010x,-1156.5,-1135.85,-378.726,-348.831
111,660.858,1321.72,129.481,1086.11
1110,660.858,1321.72,129.481,607.793
11100,660.858,991.288,129.481,607.793
111000,660.858,991.288,129.481,368.637
1110001,826.073,991.288,129.481,368.637
11100010,826.073,991.288,129.481,249.059
111000100,826.073,908.68,129.481,249.059
1110001001,826.073,908.68,189.27,249.059
11100010010,826.073,867.377,189.27,249.059
111000100101,826.073,867.377,219.164,249.059
1110001001010,826.073,846.725,219.164,249.059
1110001001010x,826.073,846.725,219.164,249.059
00101,-330.429,0,-827.144,-348.831
001010,-330.429,0,-827.144,-587.988
0010101,-165.215,0,-827.144,-587.988
00101010,-165.215,0,-827.144,-707.566
001010101,-82.6073,0,-827.144,-707.566
